,0
"('8', '7')",0.34448950355845875
"('8', '103')",0.42623951874440175
"('8', '51')",0.45016115938057294
"('174', '1625')",0.1869818645317658
"('174', '1627')",0.2635008997237305
"('174', '1623')",0.31855738124345045
"('227', '2094')",0.21036592293156153
"('227', '2091')",0.3164870225576628
"('227', '2087')",0.36426166296149454
"('1974', '17562')",0.5164604830497437
"('1974', '1627')",0.6129079035012679
"('1974', '1626')",0.75
"('9', '13')",0.34448950355845875
"('9', '70')",0.42623951874440175
"('9', '66')",0.45016115938057294
"('1324', '11807')",0.34448950355845875
"('1324', '11805')",0.42623951874440175
"('1324', '11812')",0.45016115938057294
"('7', '77')",0.1179148355002037
"('7', '93')",0.44898333624366266
"('7', '55')",0.45016115938057294
"('4088', '35554')",0.34448950355845875
"('4088', '35561')",0.6666666666666666
"('4088', '35562')",0.45016115938057294
"('5863', '36505')",0.6666666666666666
"('5863', '36514')",0.42623951874440175
"('5863', '36508')",0.45016115938057294
"('1', '15')",0.34448950355845875
"('1', '32')",0.42623951874440175
"('1', '0')",0.45016115938057294
"('32', '314')",0.9741050710513887
"('32', '230')",0.07608417616682436
"('32', '338')",0.08054829742477361
"('431', '3884')",0.6666666666666666
"('431', '0')",0.42623951874440175
"('431', '3887')",0.45016115938057294
"('23323', '191148')",0.6666666666666666
"('23323', '191149')",0.42623951874440175
"('23323', '191144')",0.45016115938057294
"('5', '99')",0.5315478118761295
"('5', '16')",0.5798431676752741
"('5', '87')",0.42784533032689764
"('558', '84')",0.26140669101590797
"('558', '5043')",0.75
"('558', '5041')",0.6330185795722911
"('8768', '74672')",0.6666666666666666
"('8768', '74661')",0.42623951874440175
"('8768', '74674')",0.45016115938057294
"('8893', '75682')",0.34448950355845875
"('8893', '75685')",0.42623951874440175
"('8893', '75684')",0.45016115938057294
"('8907', '74672')",0.6666666666666666
"('8907', '74671')",0.6666666666666666
"('8907', '74661')",0.6666666666666666
"('47', '482')",0.7813949062287056
"('47', '425')",0.01989152799101567
"('47', '456')",0.028107940727935262
"('2', '72')",0.34448950355845875
"('2', '11')",0.42623951874440175
"('2', '102')",0.45016115938057294
"('281', '2561')",0.34448950355845875
"('281', '2566')",0.42623951874440175
"('281', '102')",0.45016115938057294
"('22801', '186951')",0.34448950355845875
"('22801', '186956')",0.6666666666666666
"('22801', '186959')",0.45016115938057294
"('28300', '230571')",0.34448950355845875
"('28300', '230577')",0.42623951874440175
"('28300', '230568')",0.45016115938057294
"('451', '4066')",0.21036592293156153
"('451', '4047')",0.3164870225576628
"('451', '3991')",0.36426166296149454
"('71', '691')",0.6203207829894001
"('71', '741')",0.02684655838704018
"('71', '689')",0.4482710229305413
"('4', '45')",0.8807097381633608
"('4', '20')",0.13669403543602865
"('4', '24')",0.2023285010219451
"('0', '59')",0.4753438743801851
"('0', '89')",0.5521418669588368
"('0', '29')",0.66209211908236
"('11643', '10959')",0.6666666666666666
"('11643', '10963')",0.6666666666666666
"('11643', '17333')",0.6666666666666666
"('3', '19')",0.34448950355845875
"('3', '44')",0.42623951874440175
"('3', '5')",0.45016115938057294
"('126', '1199')",0.34448950355845875
"('126', '1195')",0.42623951874440175
"('126', '1194')",0.45016115938057294
"('747', '6749')",0.6666666666666666
"('747', '6747')",0.42623951874440175
"('747', '6742')",0.45016115938057294
"('1511', '13411')",0.34448950355845875
"('1511', '13409')",0.42623951874440175
"('1511', '1199')",0.45016115938057294
"('4350', '37768')",0.34448950355845875
"('4350', '37765')",0.42623951874440175
"('4350', '37772')",0.45016115938057294
"('4393', '38123')",0.34448950355845875
"('4393', '38129')",0.42623951874440175
"('4393', '38127')",0.45016115938057294
"('104', '649')",0.6618996821724261
"('104', '505')",0.24698088274025506
"('104', '638')",0.18965724578743048
"('33831', '274116')",0.34448950355845875
"('33831', '274115')",0.6666666666666666
"('33831', '274121')",0.6666666666666666
"('35251', '285310')",0.34448950355845875
"('35251', '285311')",0.6666666666666666
"('35251', '285313')",0.45016115938057294
"('35993', '291150')",0.6666666666666666
"('35993', '291155')",0.42623951874440175
"('35993', '291157')",0.45016115938057294
"('37092', '299813')",0.34448950355845875
"('37092', '299819')",0.6666666666666666
"('37092', '299814')",0.45016115938057294
"('38405', '309947')",0.6666666666666666
"('38405', '309955')",0.42623951874440175
"('38405', '309954')",0.45016115938057294
"('10', '57')",0.4181281653111081
"('10', '47')",0.3651628265357162
"('10', '101')",0.34694286027987686
"('1260', '57')",0.34448950355845875
"('1260', '101')",0.42623951874440175
"('1260', '11246')",0.45016115938057294
"('2389', '21186')",0.34448950355845875
"('2389', '21184')",0.42623951874440175
"('2389', '21182')",0.45016115938057294
"('253', '2356')",0.24382766650663862
